schemaVersion,recordType,source,content,collectedAt
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/baichuan-inc/Baichuan-7B'}","{'entityName': 'baichuan-inc', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327369
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/Eventual-Inc/Daft'}","{'entityName': 'Eventual-Inc', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327374
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/amazon-science/chronos-forecasting'}","{'entityName': 'amazon-science', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327381
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/lucidrains/DALLE-pytorch'}","{'entityName': 'lucidrains', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327386
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/ombharatiya/FAANG-Coding-Interview-Questions'}","{'entityName': 'ombharatiya', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327392
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/potpie-ai/potpie'}","{'entityName': 'potpie-ai', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327397
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/holaboss-ai/holaOS'}","{'entityName': 'holaboss-ai', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327402
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/unicity-sphere/sphere-sdk'}","{'entityName': 'unicity-sphere', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327407
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/google-deepmind/graph_nets'}","{'entityName': 'google-deepmind', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327414
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/louisfb01/start-machine-learning'}","{'entityName': 'louisfb01', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327419
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/awslabs/gluonts'}","{'entityName': 'awslabs', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327427
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/sreeharierk/datascience'}","{'entityName': 'sreeharierk', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327432
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/NVIDIAGameWorks/kaolin'}","{'entityName': 'NVIDIAGameWorks', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327437
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/sktime/pytorch-forecasting'}","{'entityName': 'sktime', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327442
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/Kodezi/Chronos'}","{'entityName': 'Kodezi', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327447
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/BoltzmannEntropy/interviews.ai'}","{'entityName': 'BoltzmannEntropy', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327452
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/CodeWithCJ/SparkyFitness'}","{'entityName': 'CodeWithCJ', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327457
