schemaVersion,recordType,source,content,collectedAt
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/RoseCityRobotics/ai-developer-resources'}","{'startupName': 'RoseCityRobotics', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855325
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/JuliaPOMDP/POMDPs.jl'}","{'startupName': 'JuliaPOMDP', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855327
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/qgallouedec/panda-gym'}","{'startupName': 'qgallouedec', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855330
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/yarkable/Awesome-Computer-Vision-Paper-List'}","{'startupName': 'yarkable', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855332
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/AlonzoLeeeooo/awesome-text-to-image-studies'}","{'startupName': 'AlonzoLeeeooo', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855336
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/RichmondAlake/memorizz'}","{'startupName': 'RichmondAlake', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855339
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/kennethleungty/Failed-ML'}","{'startupName': 'kennethleungty', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855342
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/becauseofAI/MobileFace'}","{'startupName': 'becauseofAI', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855345
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/lafmdp/Awesome-Papers-Autonomous-Agent'}","{'startupName': 'lafmdp', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855347
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/yuxitong/TensorFlowAndroidDemo'}","{'startupName': 'yuxitong', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855350
